Equipo,PJ,PG,PP,PF,PC,DIF
UNI,34,28,6,3016,2627,389
RMA,34,28,6,3001,2707,294
FCB,34,23,11,2985,2769,216
VBC,34,21,13,2856,2788,68
MUR,34,21,13,2829,2735,94
CAN,34,21,13,2845,2760,85
GCA,34,20,14,2859,2771,88
MAN,34,19,15,2878,2875,3
BAS,34,18,16,3008,3004,4
JOV,34,16,18,2776,2939,-163
AND,34,13,21,2884,2894,-10
ZAR,34,13,21,2799,2893,-94
BLB,34,13,21,2677,2777,-100
GIR,34,13,21,2754,2914,-160
COV,34,11,23,2752,2930,-178
BRE,34,11,23,2530,2674,-144
OBR,34,11,23,2760,2868,-108
PAL,34,6,28,2682,2966,-284
